Order ID,Product,Category,Amount,Date,Country
1,Carrots,Vegetables,4270.00,06/01/2012,United States
2,Broccoli,Vegetables,8239.00,07/01/2012,United Kingdom
3,Banana,Fruit,617.00,08/01/2012,United States
4,Banana,Fruit,8384.00,10/01/2012,Canada
5,Beans,Vegetables,2626.00,10/01/2012,Germany
6,Orange,Fruit,3610.00,11/01/2012,United States
7,Broccoli,Vegetables,9062.00,11/01/2012,Australia
8,Banana,Fruit,6906.00,16/01/2012,New Zealand
9,Apple,Fruit,2417.00,16/01/2012,France
10,Apple,Fruit,7431.00,16/01/2012,Canada
11,Banana,Fruit,8250.00,16/01/2012,Germany
12,Broccoli,Vegetables,7012.00,18/01/2012,United States
13,Carrots,Vegetables,1903.00,20/01/2012,Germany
14,Broccoli,Vegetables,2824.00,22/01/2012,Canada
15,Apple,Fruit,6946.00,24/01/2012,France
16,Banana,Fruit,2320.00,27/01/2012,United Kingdom
17,Banana,Fruit,2116.00,28/01/2012,United States
18,Banana,Fruit,1135.00,30/01/2012,United Kingdom
19,Broccoli,Vegetables,3595.00,30/01/2012,United Kingdom
20,Apple,Fruit,1161.00,02/02/2012,United States
21,Orange,Fruit,2256.00,04/02/2012,France
22,Banana,Fruit,1004.00,11/02/2012,New Zealand
23,Banana,Fruit,3642.00,14/02/2012,Canada
24,Banana,Fruit,4582.00,17/02/2012,United States
25,Beans,Vegetables,3559.00,17/02/2012,United Kingdom
26,Carrots,Vegetables,5154.00,17/02/2012,Australia
27,Mango,Fruit,7388.00,18/02/2012,France
28,Beans,Vegetables,7163.00,18/02/2012,United States
29,Beans,Vegetables,5101.00,20/02/2012,Germany
30,Apple,Fruit,7602.00,21/02/2012,France
31,Mango,Fruit,1641.00,22/02/2012,United States
32,Apple,Fruit,8892.00,23/02/2012,Australia
33,Apple,Fruit,2060.00,29/02/2012,France
34,Broccoli,Vegetables,1557.00,29/02/2012,Germany
35,Apple,Fruit,6509.00,01/03/2012,France
36,Apple,Fruit,5718.00,04/03/2012,Australia
37,Apple,Fruit,7655.00,05/03/2012,United States
38,Carrots,Vegetables,9116.00,05/03/2012,United Kingdom
39,Banana,Fruit,2795.00,15/03/2012,United States
40,Banana,Fruit,5084.00,15/03/2012,United States
41,Carrots,Vegetables,8941.00,15/03/2012,United Kingdom
42,Broccoli,Vegetables,5341.00,16/03/2012,France
43,Banana,Fruit,135.00,19/03/2012,Canada
44,Banana,Fruit,9400.00,19/03/2012,Australia
45,Beans,Vegetables,6045.00,21/03/2012,Germany
46,Apple,Fruit,5820.00,22/03/2012,New Zealand
47,Orange,Fruit,8887.00,23/03/2012,Germany
48,Orange,Fruit,6982.00,24/03/2012,United States
49,Banana,Fruit,4029.00,26/03/2012,Australia
50,Carrots,Vegetables,3665.00,26/03/2012,Germany
51,Banana,Fruit,4781.00,29/03/2012,France
52,Mango,Fruit,3663.00,30/03/2012,Australia
53,Apple,Fruit,6331.00,01/04/2012,France
54,Apple,Fruit,4364.00,01/04/2012,Canada
55,Carrots,Vegetables,607.00,03/04/2012,United Kingdom
56,Banana,Fruit,1054.00,06/04/2012,New Zealand
57,Carrots,Vegetables,7659.00,06/04/2012,United States
58,Broccoli,Vegetables,277.00,12/04/2012,Germany
59,Banana,Fruit,235.00,17/04/2012,United States
60,Orange,Fruit,1113.00,18/04/2012,Australia
61,Apple,Fruit,1128.00,21/04/2012,United States
62,Broccoli,Vegetables,9231.00,22/04/2012,Canada
63,Banana,Fruit,4387.00,23/04/2012,United States
64,Apple,Fruit,2763.00,25/04/2012,Canada
65,Banana,Fruit,7898.00,27/04/2012,United Kingdom
66,Banana,Fruit,2427.00,30/04/2012,France
67,Banana,Fruit,8663.00,01/05/2012,New Zealand
68,Carrots,Vegetables,2789.00,01/05/2012,Germany
69,Banana,Fruit,4054.00,02/05/2012,United States
70,Mango,Fruit,2262.00,02/05/2012,United States
71,Mango,Fruit,5600.00,02/05/2012,United Kingdom
72,Banana,Fruit,5787.00,03/05/2012,United States
73,Orange,Fruit,6295.00,03/05/2012,Canada
74,Banana,Fruit,474.00,05/05/2012,Germany
75,Apple,Fruit,4325.00,05/05/2012,France
76,Banana,Fruit,592.00,06/05/2012,United States
77,Orange,Fruit,4330.00,08/05/2012,United States
78,Banana,Fruit,9405.00,08/05/2012,United Kingdom
79,Apple,Fruit,7671.00,08/05/2012,France
80,Carrots,Vegetables,5791.00,08/05/2012,United Kingdom
81,Banana,Fruit,6007.00,12/05/2012,Canada
82,Banana,Fruit,5030.00,14/05/2012,Germany
83,Carrots,Vegetables,6763.00,14/05/2012,United Kingdom
84,Banana,Fruit,4248.00,15/05/2012,Australia
85,Banana,Fruit,9543.00,16/05/2012,France
86,Broccoli,Vegetables,2054.00,16/05/2012,United Kingdom
87,Beans,Vegetables,7094.00,16/05/2012,Germany
88,Carrots,Vegetables,6087.00,18/05/2012,United States
89,Apple,Fruit,4264.00,19/05/2012,Australia
90,Mango,Fruit,9333.00,20/05/2012,United States
91,Mango,Fruit,8775.00,22/05/2012,Germany
92,Broccoli,Vegetables,2011.00,23/05/2012,United Kingdom
93,Banana,Fruit,5632.00,25/05/2012,United States
94,Banana,Fruit,4904.00,25/05/2012,New Zealand
95,Beans,Vegetables,1002.00,25/05/2012,Australia
96,Orange,Fruit,8141.00,26/05/2012,United Kingdom
97,Orange,Fruit,3644.00,26/05/2012,Canada
98,Orange,Fruit,1380.00,26/05/2012,Australia
99,Broccoli,Vegetables,8354.00,26/05/2012,Germany
100,Banana,Fruit,5182.00,27/05/2012,United States
101,Apple,Fruit,2193.00,27/05/2012,France
102,Mango,Fruit,3647.00,28/05/2012,United States
103,Apple,Fruit,4104.00,28/05/2012,United States
104,Carrots,Vegetables,7457.00,28/05/2012,United States
105,Mango,Fruit,3767.00,29/05/2012,Canada
106,Broccoli,Vegetables,4685.00,30/05/2012,Germany
107,Banana,Fruit,3917.00,04/06/2012,United States
108,Apple,Fruit,521.00,04/06/2012,Canada
109,Apple,Fruit,5605.00,10/06/2012,France
110,Broccoli,Vegetables,9630.00,11/06/2012,Germany
111,Banana,Fruit,6941.00,20/06/2012,Canada
112,Broccoli,Vegetables,7231.00,20/06/2012,United Kingdom
113,Broccoli,Vegetables,8891.00,23/06/2012,Australia
114,Banana,Fruit,107.00,25/06/2012,France
115,Banana,Fruit,4243.00,26/06/2012,United States
116,Orange,Fruit,4514.00,27/06/2012,United States
117,Mango,Fruit,5480.00,02/07/2012,United States
118,Banana,Fruit,5002.00,02/07/2012,France
119,Banana,Fruit,8530.00,05/07/2012,Canada
120,Orange,Fruit,4819.00,07/07/2012,New Zealand
121,Broccoli,Vegetables,6343.00,11/07/2012,United Kingdom
122,Orange,Fruit,2318.00,13/07/2012,United Kingdom
123,Orange,Fruit,220.00,20/07/2012,United Kingdom
124,Orange,Fruit,6341.00,20/07/2012,New Zealand
125,Apple,Fruit,330.00,20/07/2012,Germany
126,Broccoli,Vegetables,3027.00,20/07/2012,United Kingdom
127,Orange,Fruit,850.00,22/07/2012,New Zealand
128,Banana,Fruit,8986.00,23/07/2012,United Kingdom
129,Broccoli,Vegetables,3800.00,25/07/2012,United States
130,Carrots,Vegetables,5751.00,28/07/2012,United Kingdom
131,Apple,Fruit,1704.00,29/07/2012,United Kingdom
132,Banana,Fruit,7966.00,30/07/2012,Australia
133,Banana,Fruit,852.00,31/07/2012,United States
134,Beans,Vegetables,8416.00,31/07/2012,Australia
135,Banana,Fruit,7144.00,01/08/2012,France
136,Broccoli,Vegetables,7854.00,01/08/2012,United States
137,Orange,Fruit,859.00,03/08/2012,United States
138,Broccoli,Vegetables,8049.00,12/08/2012,United States
139,Banana,Fruit,2836.00,13/08/2012,Germany
140,Carrots,Vegetables,1743.00,19/08/2012,United States
141,Apple,Fruit,3844.00,23/08/2012,France
142,Apple,Fruit,7490.00,24/08/2012,France
143,Broccoli,Vegetables,4483.00,25/08/2012,Germany
144,Apple,Fruit,7333.00,27/08/2012,Canada
145,Carrots,Vegetables,7654.00,28/08/2012,United States
146,Apple,Fruit,3944.00,29/08/2012,United Kingdom
147,Beans,Vegetables,5761.00,29/08/2012,Germany
148,Banana,Fruit,6864.00,01/09/2012,New Zealand
149,Banana,Fruit,4016.00,01/09/2012,Germany
150,Banana,Fruit,1841.00,02/09/2012,United States
151,Banana,Fruit,424.00,05/09/2012,Australia
152,Banana,Fruit,8765.00,07/09/2012,United Kingdom
153,Banana,Fruit,5583.00,08/09/2012,United States
154,Broccoli,Vegetables,4390.00,09/09/2012,New Zealand
155,Broccoli,Vegetables,352.00,09/09/2012,Canada
156,Apple,Fruit,8489.00,11/09/2012,United States
157,Banana,Fruit,7090.00,11/09/2012,France
158,Banana,Fruit,7880.00,15/09/2012,United States
159,Orange,Fruit,3861.00,18/09/2012,United States
160,Broccoli,Vegetables,7927.00,19/09/2012,Germany
161,Banana,Fruit,6162.00,20/09/2012,United States
162,Mango,Fruit,5523.00,25/09/2012,Australia
163,Broccoli,Vegetables,5936.00,25/09/2012,United Kingdom
164,Carrots,Vegetables,7251.00,26/09/2012,Germany
165,Orange,Fruit,6187.00,27/09/2012,Australia
166,Banana,Fruit,3210.00,29/09/2012,Germany
167,Carrots,Vegetables,682.00,29/09/2012,Germany
168,Banana,Fruit,793.00,03/10/2012,Australia
169,Carrots,Vegetables,5346.00,04/10/2012,Germany
170,Banana,Fruit,7103.00,07/10/2012,New Zealand
171,Carrots,Vegetables,4603.00,10/10/2012,United States
172,Apple,Fruit,8160.00,16/10/2012,France
173,Apple,Fruit,7171.00,23/10/2012,United Kingdom
174,Banana,Fruit,3552.00,23/10/2012,New Zealand
175,Banana,Fruit,7273.00,25/10/2012,Australia
176,Banana,Fruit,2402.00,26/10/2012,Germany
177,Banana,Fruit,1197.00,26/10/2012,Australia
178,Beans,Vegetables,5015.00,26/10/2012,Australia
179,Orange,Fruit,5818.00,02/11/2012,United States
180,Banana,Fruit,4399.00,03/11/2012,United Kingdom
181,Carrots,Vegetables,3011.00,03/11/2012,United States
182,Apple,Fruit,4715.00,09/11/2012,United Kingdom
183,Apple,Fruit,5321.00,12/11/2012,France
184,Banana,Fruit,8894.00,15/11/2012,United States
185,Carrots,Vegetables,4846.00,25/11/2012,United Kingdom
186,Broccoli,Vegetables,284.00,25/11/2012,Germany
187,Orange,Fruit,8283.00,26/11/2012,United Kingdom
188,Orange,Fruit,9990.00,28/11/2012,Canada
189,Banana,Fruit,9014.00,28/11/2012,Australia
190,Apple,Fruit,1942.00,29/11/2012,France
191,Banana,Fruit,7223.00,30/11/2012,United States
192,Carrots,Vegetables,4673.00,02/12/2012,United States
193,Carrots,Vegetables,9104.00,04/12/2012,France
194,Apple,Fruit,6078.00,05/12/2012,United States
195,Beans,Vegetables,3278.00,06/12/2012,Germany
196,Banana,Fruit,136.00,12/12/2012,Canada
197,Banana,Fruit,8377.00,12/12/2012,Australia
198,Banana,Fruit,2382.00,12/12/2012,United States
199,Banana,Fruit,8702.00,15/12/2012,Germany
200,Banana,Fruit,5021.00,16/12/2012,United States
201,Apple,Fruit,1760.00,16/12/2012,Australia
202,Banana,Fruit,4766.00,18/12/2012,Germany
203,Beans,Vegetables,1541.00,19/12/2012,United Kingdom
204,Orange,Fruit,2782.00,20/12/2012,United Kingdom
205,Apple,Fruit,2455.00,20/12/2012,Canada
206,Apple,Fruit,4512.00,22/12/2012,New Zealand
207,Apple,Fruit,8752.00,22/12/2012,Germany
208,Carrots,Vegetables,9127.00,25/12/2012,United States
209,Apple,Fruit,1777.00,28/12/2012,France
210,Beans,Vegetables,680.00,28/12/2012,France
211,Orange,Fruit,958.00,29/12/2012,United States
212,Carrots,Vegetables,2613.00,29/12/2012,Australia
213,Carrots,Vegetables,339.00,30/12/2012,Australia